Date,Open,High,Low,Close,Volume,Adj Close
2013-04-05,12.43,12.50,12.15,12.44,42605700,12.44
2013-04-04,12.68,12.78,12.45,12.65,29803800,12.65
2013-04-03,13.05,13.05,12.59,12.68,45189000,12.68
2013-04-02,13.00,13.19,12.96,13.01,35189300,13.01
2013-04-01,13.01,13.15,12.90,12.90,32945600,12.90
2013-03-28,13.24,13.24,13.10,13.15,25472400,13.15
2013-03-27,13.23,13.25,13.10,13.22,26224700,13.22
2013-03-26,13.35,13.37,13.24,13.31,24236700,13.31
2013-03-25,13.31,13.40,13.26,13.29,27238000,13.29
2013-03-22,13.24,13.31,13.20,13.26,21413000,13.26
2013-03-21,13.25,13.42,13.23,13.26,29712400,13.26
2013-03-20,13.22,13.40,13.18,13.36,32690500,13.36
2013-03-19,13.27,13.35,13.09,13.16,37639900,13.16
2013-03-18,13.16,13.39,12.80,13.26,36877600,13.26
2013-03-15,13.31,13.45,13.26,13.45,62961000,13.45
2013-03-14,13.43,13.45,13.37,13.43,31653300,13.43
2013-03-13,13.37,13.45,13.35,13.40,26467800,13.40
2013-03-12,13.37,13.47,13.17,13.39,46047600,13.39
2013-03-11,12.97,13.40,12.90,13.34,48696900,13.34
2013-03-08,12.94,12.99,12.81,12.98,24715100,12.98
2013-03-07,12.89,12.91,12.77,12.83,27702800,12.83
2013-03-06,12.97,13.00,12.85,12.89,28953400,12.89
2013-03-05,12.87,12.98,12.79,12.87,26863200,12.87
2013-03-04,12.55,12.75,12.53,12.75,24337100,12.75
2013-03-01,12.56,12.75,12.38,12.61,38806100,12.61
2013-02-28,12.78,12.87,12.60,12.61,37659400,12.61
2013-02-27,12.35,12.85,12.35,12.76,51569900,12.76
2013-02-26,12.24,12.35,12.11,12.34,29191400,12.34
2013-02-25,12.53,12.57,12.10,12.13,38627200,12.13
2013-02-22,12.44,12.50,12.31,12.48,23866400,12.48
2013-02-21,12.51,12.51,12.30,12.39,43703700,12.39
2013-02-20,12.95,12.98,12.57,12.60,50381800,12.60
2013-02-19,13.04,13.09,12.90,12.99,31089900,12.99
2013-02-15,13.14,13.14,13.01,13.02,32418700,13.02
2013-02-14,13.00,13.17,12.96,13.11,33489000,13.11
2013-02-13,13.11,13.14,12.99,13.04,24503600,13.04
2013-02-12,13.12,13.20,13.05,13.08,26243300,13.08
2013-02-11,13.06,13.20,13.02,13.11,17688900,13.11
2013-02-08,13.10,13.16,13.05,13.10,18613300,13.10
2013-02-07,13.26,13.31,13.00,13.07,33987500,13.07
2013-02-06,13.13,13.27,13.05,13.20,33520400,13.20
2013-02-05,12.97,13.25,12.94,13.18,39116500,13.18
2013-02-04,12.94,13.00,12.86,12.88,32702200,12.88
2013-02-01,13.10,13.13,12.94,13.02,45222500,13.02
2013-01-31,12.86,13.02,12.67,12.95,65844000,12.95
2013-01-30,13.01,13.20,12.89,12.93,59595900,12.93
2013-01-29,13.56,13.61,12.89,13.14,131146500,13.14
2013-01-28,13.49,13.82,13.42,13.78,51189300,13.78
2013-01-25,13.83,13.84,13.64,13.68,53405400,13.58
2013-01-24,13.82,13.98,13.81,13.87,42532700,13.77
2013-01-23,14.00,14.02,13.79,13.88,58122200,13.78
2013-01-22,14.06,14.19,14.00,14.17,35467900,14.07
2013-01-18,14.10,14.13,13.97,14.11,45716100,14.01
2013-01-17,14.27,14.30,14.07,14.22,44299300,14.12
2013-01-16,14.16,14.25,14.01,14.22,51453400,14.12
2013-01-15,13.91,14.30,13.89,14.30,55425000,14.20
2013-01-14,14.04,14.08,13.86,13.99,46224800,13.89
2013-01-11,14.00,14.07,13.90,14.00,67641200,13.90
2013-01-10,13.78,13.94,13.68,13.83,84884300,13.73
2013-01-09,13.40,13.60,13.39,13.47,36973900,13.37
2013-01-08,13.38,13.43,13.20,13.35,46336200,13.25
2013-01-07,13.52,13.58,13.35,13.43,43482400,13.33
2013-01-04,13.51,13.61,13.35,13.57,54669900,13.47
2013-01-03,13.24,13.70,13.05,13.46,121284700,13.36
2013-01-02,13.23,13.28,13.00,13.20,75274700,13.10
2012-12-31,12.88,13.08,12.76,12.95,106908900,12.86
2012-12-28,12.55,12.88,12.52,12.87,95668600,12.78
2012-12-27,12.79,12.81,12.36,12.76,108315100,12.67
2012-12-26,12.31,12.79,12.31,12.79,140331900,12.70
2012-12-24,11.67,12.40,11.67,12.40,91734900,12.31
2012-12-21,11.55,11.86,11.47,11.86,94489300,11.77
2012-12-20,11.74,11.80,11.58,11.77,47750100,11.68
2012-12-19,11.79,11.85,11.62,11.73,54884700,11.64
2012-12-18,11.48,11.68,11.40,11.67,61810400,11.58
2012-12-17,11.16,11.41,11.14,11.39,46983300,11.31
2012-12-14,11.27,11.27,11.03,11.10,36933500,11.02
2012-12-13,11.46,11.50,11.21,11.27,35443200,11.19
2012-12-12,11.52,11.56,11.43,11.47,31099900,11.39
2012-12-11,11.51,11.58,11.40,11.49,36326900,11.41
2012-12-10,11.41,11.53,11.41,11.47,26025200,11.39
2012-12-07,11.27,11.50,11.26,11.48,38404500,11.40
2012-12-06,11.26,11.31,11.19,11.24,31065800,11.16
2012-12-05,11.32,11.40,11.18,11.31,33152400,11.23
2012-12-04,11.40,11.44,11.23,11.31,37760200,11.23
2012-12-03,11.56,11.70,11.40,11.41,47746300,11.33
2012-11-30,11.52,11.60,11.33,11.45,41329600,11.37
2012-11-29,11.32,11.53,11.32,11.53,57289300,11.45
2012-11-28,11.05,11.26,10.98,11.25,38496900,11.17
2012-11-27,11.10,11.27,11.10,11.10,37610000,11.02
2012-11-26,11.05,11.14,10.97,11.11,26831700,11.03
2012-11-23,10.98,11.10,10.96,11.10,16032200,11.02
2012-11-21,10.84,11.00,10.80,10.92,21181700,10.84
2012-11-20,10.85,11.02,10.76,10.85,34739800,10.77
2012-11-19,10.65,10.90,10.65,10.83,39359100,10.75
