Date,Open,High,Low,Close,Volume,Adj Close
2013-04-05,18.17,18.17,17.95,18.08,247600,18.08
2013-04-04,18.48,18.48,18.23,18.25,32100,18.25
2013-04-03,18.66,18.66,18.38,18.47,34100,18.47
2013-04-02,18.53,18.65,18.53,18.65,31400,18.65
2013-04-01,18.54,18.59,18.51,18.52,21300,18.52
2013-03-28,18.38,18.57,18.32,18.57,76600,18.57
2013-03-27,18.50,18.50,18.39,18.41,20000,18.41
2013-03-26,18.60,18.60,18.51,18.53,43400,18.53
2013-03-25,18.61,18.64,18.48,18.52,42700,18.52
2013-03-22,18.54,18.67,18.51,18.61,29200,18.55
2013-03-21,18.63,18.63,18.47,18.51,54800,18.45
2013-03-20,18.72,18.73,18.61,18.66,23600,18.60
2013-03-19,18.70,18.78,18.65,18.68,54700,18.62
2013-03-18,18.67,18.78,18.63,18.69,29300,18.63
2013-03-15,18.78,18.85,18.73,18.76,121600,18.70
2013-03-14,18.80,18.80,18.65,18.79,134500,18.73
2013-03-13,18.93,18.93,18.67,18.75,368200,18.69
2013-03-12,18.93,18.97,18.87,18.91,59300,18.85
2013-03-11,18.90,18.98,18.90,18.97,42300,18.91
2013-03-08,18.96,18.96,18.81,18.90,283100,18.84
2013-03-07,19.00,19.00,18.91,18.94,382300,18.88
2013-03-06,19.13,19.15,18.97,18.98,396900,18.92
2013-03-05,19.05,19.13,19.05,19.05,249400,18.99
2013-03-04,19.03,19.03,18.93,18.97,151700,18.91
2013-03-01,19.03,19.09,18.97,19.04,177000,18.98
2013-02-28,18.99,19.10,18.94,19.07,2658200,19.01
2013-02-27,18.91,18.96,18.84,18.96,25800,18.90
2013-02-26,18.90,18.96,18.86,18.92,77300,18.86
2013-02-25,19.04,19.16,18.86,18.87,307100,18.81
2013-02-22,19.00,19.08,18.99,19.03,30600,18.92
2013-02-21,19.06,19.06,18.91,18.98,42700,18.87
2013-02-20,19.05,19.13,19.04,19.07,108800,18.96
2013-02-19,18.90,19.05,18.90,19.02,175800,18.91
2013-02-15,18.85,18.88,18.79,18.81,91300,18.70
2013-02-14,18.90,18.90,18.74,18.83,253500,18.72
2013-02-13,18.86,18.87,18.81,18.87,19900,18.76
2013-02-12,18.82,18.85,18.78,18.78,19500,18.67
2013-02-11,18.84,18.88,18.82,18.82,12900,18.71
2013-02-08,18.75,18.88,18.75,18.82,38600,18.71
2013-02-07,18.76,18.82,18.71,18.74,27400,18.63
2013-02-06,18.71,18.80,18.71,18.80,407400,18.69
2013-02-05,18.77,18.78,18.70,18.74,43000,18.63
2013-02-04,18.80,18.80,18.69,18.74,58700,18.63
2013-02-01,18.92,18.92,18.83,18.86,11300,18.75
2013-01-31,18.96,18.96,18.79,18.81,34200,18.70
2013-01-30,18.89,18.98,18.88,18.90,21800,18.79
2013-01-29,18.96,18.98,18.93,18.95,12700,18.84
2013-01-28,18.95,19.02,18.90,18.97,43300,18.86
2013-01-25,18.97,18.97,18.90,18.90,16900,18.74
2013-01-24,18.90,18.91,18.86,18.89,125800,18.73
2013-01-23,18.85,18.88,18.83,18.84,18200,18.68
2013-01-22,18.80,18.86,18.79,18.86,20300,18.70
2013-01-21,18.75,18.84,18.75,18.84,8900,18.68
2013-01-18,18.58,18.75,18.58,18.70,21800,18.54
2013-01-17,18.57,18.60,18.54,18.58,15600,18.42
2013-01-16,18.55,18.57,18.49,18.57,37500,18.41
2013-01-15,18.45,18.55,18.44,18.55,90800,18.39
2013-01-14,18.43,18.48,18.43,18.48,27900,18.32
2013-01-11,18.47,18.51,18.41,18.45,36800,18.29
2013-01-10,18.56,18.56,18.47,18.50,47700,18.34
2013-01-09,18.46,18.49,18.43,18.49,22500,18.33
2013-01-08,18.46,18.46,18.36,18.43,39200,18.27
2013-01-07,18.48,18.48,18.34,18.43,37300,18.27
2013-01-04,18.32,18.47,18.32,18.46,13300,18.30
2013-01-03,18.36,18.41,18.33,18.36,24700,18.20
2013-01-02,18.47,18.51,18.32,18.37,38700,18.21
2012-12-31,18.30,18.32,18.22,18.32,37600,18.16
2012-12-28,18.26,18.32,18.26,18.30,16000,18.14
2012-12-27,18.40,18.41,18.25,18.33,21300,18.17
2012-12-24,18.47,18.48,18.43,18.43,7900,18.27
2012-12-21,18.42,18.47,18.31,18.47,36700,18.26
2012-12-20,18.42,18.45,18.37,18.42,42200,18.21
2012-12-19,18.24,18.44,18.24,18.42,36600,18.21
2012-12-18,18.08,18.27,18.08,18.24,80100,18.03
2012-12-17,18.09,18.10,17.99,18.08,38800,17.87
2012-12-14,18.11,18.14,18.06,18.06,22800,17.85
2012-12-13,18.13,18.13,18.06,18.13,31300,17.92
2012-12-12,18.07,18.13,18.07,18.12,47100,17.91
2012-12-11,17.98,18.07,17.98,18.02,21700,17.81
2012-12-10,17.92,17.95,17.90,17.95,30700,17.74
2012-12-07,17.93,17.98,17.87,17.91,65600,17.70
2012-12-06,18.11,18.11,17.88,17.89,52200,17.68
2012-12-05,18.02,18.14,18.02,18.09,200900,17.88
2012-12-04,18.03,18.06,17.99,18.02,183000,17.81
2012-12-03,18.10,18.10,17.99,18.03,120200,17.82
2012-11-30,18.06,18.06,17.97,18.01,96700,17.80
2012-11-29,17.93,18.03,17.93,18.02,23800,17.81
2012-11-28,17.79,17.86,17.76,17.86,21500,17.65
2012-11-27,17.94,17.94,17.81,17.81,36100,17.60
2012-11-26,17.85,17.92,17.85,17.92,24500,17.66
2012-11-23,17.82,17.90,17.81,17.87,34400,17.61
2012-11-22,17.82,17.83,17.79,17.79,18600,17.53
2012-11-21,17.58,17.76,17.58,17.76,51200,17.50
2012-11-20,17.50,17.63,17.45,17.62,24700,17.36
2012-11-19,17.52,17.53,17.46,17.48,67200,17.23
2012-11-16,17.26,17.35,17.18,17.35,38800,17.10
2012-11-15,17.36,17.40,17.19,17.25,110200,17.00
2012-11-14,17.61,17.61,17.39,17.39,335600,17.14
2012-11-13,17.58,17.67,17.56,17.62,48600,17.36
2012-11-12,17.56,17.66,17.56,17.66,22100,17.40
2012-11-09,17.50,17.63,17.49,17.57,19500,17.31
2012-11-08,17.63,17.68,17.55,17.55,126100,17.29
2012-11-07,17.85,17.85,17.67,17.67,263600,17.41
2012-11-06,17.90,17.91,17.83,17.83,23200,17.57
2012-11-05,17.86,17.90,17.80,17.85,113600,17.59
2012-11-02,17.94,17.94,17.83,17.88,232300,17.62
2012-11-01,17.79,17.92,17.78,17.92,122100,17.66
2012-10-31,17.78,17.87,17.75,17.78,307600,17.52
2012-10-30,17.67,17.78,17.59,17.72,44100,17.46
2012-10-29,17.62,17.68,17.59,17.59,119500,17.33
2012-10-26,17.64,17.76,17.63,17.70,86600,17.44
2012-10-25,17.74,17.77,17.73,17.74,175900,17.43
2012-10-24,17.75,17.75,17.65,17.67,187000,17.36
2012-10-23,17.75,17.75,17.60,17.64,173800,17.33
2012-10-22,17.83,17.85,17.78,17.85,17000,17.54
2012-10-19,17.84,17.84,17.76,17.83,21800,17.52
2012-10-18,17.78,17.86,17.78,17.86,152400,17.55
2012-10-17,17.70,17.77,17.70,17.77,163200,17.46
2012-10-16,17.66,17.75,17.66,17.70,72600,17.39
2012-10-15,17.51,17.59,17.49,17.56,91300,17.25
2012-10-12,17.50,17.51,17.42,17.46,42000,17.15
2012-10-11,17.53,17.58,17.49,17.51,71500,17.20
2012-10-10,17.56,17.57,17.48,17.50,479100,17.19
2012-10-09,17.68,17.68,17.57,17.58,22900,17.27
2012-10-05,17.73,17.73,17.66,17.67,24700,17.36
2012-10-04,17.62,17.68,17.62,17.65,159100,17.34
2012-10-03,17.59,17.63,17.55,17.58,14700,17.27
2012-10-02,17.63,17.64,17.54,17.58,32500,17.27
2012-10-01,17.61,17.68,17.56,17.56,57000,17.25
2012-09-28,17.51,17.51,17.42,17.50,38000,17.19
2012-09-27,17.46,17.59,17.46,17.55,20900,17.24
2012-09-26,17.37,17.50,17.37,17.42,264800,17.11
2012-09-25,17.50,17.56,17.44,17.46,49100,17.15
2012-09-24,17.49,17.56,17.41,17.53,48000,17.17
2012-09-21,17.56,17.57,17.49,17.49,19400,17.13
2012-09-20,17.49,17.54,17.46,17.53,20100,17.17
2012-09-19,17.50,17.54,17.48,17.52,30000,17.16
2012-09-18,17.47,17.47,17.44,17.46,8600,17.10
2012-09-17,17.42,17.47,17.42,17.47,14000,17.11
2012-09-14,17.50,17.50,17.42,17.46,16200,17.10
2012-09-13,17.34,17.42,17.30,17.40,87400,17.04
2012-09-12,17.39,17.41,17.33,17.34,185000,16.98
2012-09-11,17.43,17.43,17.31,17.31,24900,16.95
2012-09-10,17.35,17.42,17.35,17.40,10600,17.04
2012-09-07,17.39,17.39,17.31,17.38,22400,17.02
2012-09-06,17.26,17.36,17.26,17.35,255000,16.99
2012-09-05,17.17,17.23,17.12,17.22,314800,16.87
2012-09-04,17.23,17.23,17.05,17.11,41300,16.76
2012-08-31,17.22,17.31,17.22,17.23,36600,16.88
2012-08-30,17.34,17.35,17.15,17.20,73400,16.85
2012-08-29,17.29,17.39,17.28,17.38,226600,17.02
2012-08-28,17.33,17.34,17.23,17.24,284200,16.89
2012-08-27,17.24,17.25,17.20,17.24,73600,16.84
2012-08-24,17.14,17.24,17.14,17.19,48400,16.79
2012-08-23,17.15,17.17,17.07,17.10,118500,16.70
2012-08-22,17.32,17.32,17.19,17.20,139800,16.80
2012-08-21,17.30,17.36,17.30,17.31,4000,16.90
2012-08-20,17.31,17.31,17.23,17.27,70900,16.86
2012-08-17,17.19,17.30,17.19,17.30,194600,16.89
2012-08-16,17.09,17.18,17.04,17.17,102800,16.77
2012-08-15,16.97,17.06,16.97,17.06,12900,16.66
2012-08-14,16.91,17.01,16.91,16.97,124500,16.57
2012-08-13,16.92,16.92,16.80,16.87,120800,16.47
2012-08-10,16.87,16.88,16.82,16.87,63400,16.47
2012-08-09,16.89,16.89,16.86,16.86,11300,16.46
2012-08-08,17.03,17.03,16.87,16.87,131200,16.47
2012-08-07,16.96,17.05,16.96,17.05,98600,16.65
2012-08-03,16.85,16.94,16.85,16.89,116700,16.49
2012-08-02,16.79,16.83,16.69,16.72,217200,16.33
2012-08-01,16.98,16.98,16.86,16.86,286300,16.46
2012-07-31,16.98,16.99,16.88,16.88,101400,16.48
2012-07-30,16.95,17.01,16.91,16.91,27800,16.51
2012-07-27,16.76,17.01,16.75,16.94,657500,16.54
2012-07-26,16.63,16.71,16.59,16.71,121800,16.32
2012-07-25,16.72,16.72,16.62,16.62,102000,16.18
2012-07-24,16.78,16.80,16.63,16.68,30800,16.24
2012-07-23,16.83,16.83,16.63,16.78,667300,16.34
2012-07-20,16.98,17.01,16.93,16.96,26100,16.51
2012-07-19,16.98,17.07,16.98,17.03,59200,16.58
2012-07-18,16.97,17.00,16.96,16.98,34800,16.53
2012-07-17,16.93,16.96,16.91,16.93,44500,16.48
2012-07-16,16.93,16.93,16.85,16.90,236600,16.45
2012-07-13,16.91,16.96,16.90,16.90,13300,16.45
2012-07-12,16.92,16.92,16.84,16.86,160300,16.41
2012-07-11,16.81,17.03,16.81,17.01,385700,16.56
2012-07-10,16.91,16.99,16.78,16.86,271100,16.41
2012-07-09,16.88,16.95,16.79,16.89,438000,16.44
2012-07-06,17.00,17.04,16.86,16.95,445900,16.50
2012-07-05,17.17,17.18,17.05,17.13,305300,16.68
2012-07-04,17.06,17.18,17.06,17.14,362600,16.69
2012-07-03,16.94,17.10,16.84,17.07,568700,16.62
2012-06-29,16.76,16.79,16.70,16.75,186100,16.31
2012-06-28,16.53,16.56,16.36,16.56,290000,16.12
2012-06-27,16.53,16.63,16.49,16.59,222000,16.15
2012-06-26,16.46,16.53,16.36,16.52,335700,16.08
2012-06-25,16.63,16.63,16.45,16.54,286300,16.05
2012-06-22,16.61,16.74,16.61,16.71,239100,16.22
2012-06-21,16.88,16.93,16.57,16.59,346600,16.10
2012-06-20,16.84,16.93,16.78,16.91,148700,16.41
2012-06-19,16.55,16.84,16.55,16.83,542900,16.33
2012-06-18,16.59,16.66,16.45,16.46,77100,15.97
2012-06-15,16.55,16.61,16.53,16.58,92000,16.09
2012-06-14,16.55,16.55,16.43,16.51,73600,16.02
2012-06-13,16.38,16.62,16.38,16.53,41600,16.04
