Date,Open,High,Low,Close,Volume,Adj Close
2013-04-05,14.45,14.45,12.01,14.37,372600,14.37
2013-04-04,14.64,14.68,14.47,14.51,124800,14.51
2013-04-03,14.78,14.79,14.59,14.66,97300,14.66
2013-04-02,14.72,14.80,14.72,14.80,141800,14.80
2013-04-01,14.73,14.79,14.69,14.70,56400,14.70
2013-03-28,14.61,14.73,14.54,14.73,69500,14.73
2013-03-27,14.69,14.69,14.60,14.62,59000,14.62
2013-03-26,14.73,14.73,14.68,14.71,38100,14.71
2013-03-25,14.80,14.80,14.66,14.68,52000,14.68
2013-03-22,14.74,14.84,14.72,14.79,92300,14.72
2013-03-21,14.83,14.83,14.70,14.71,187100,14.64
2013-03-20,14.87,14.87,14.78,14.82,90400,14.75
2013-03-19,14.86,14.91,14.82,14.84,53000,14.77
2013-03-18,14.85,14.91,14.80,14.85,54500,14.78
2013-03-15,14.90,14.97,14.88,14.91,58500,14.84
2013-03-14,14.93,14.93,14.81,14.92,116500,14.85
2013-03-13,15.02,15.02,14.83,14.91,323800,14.84
2013-03-12,15.04,15.04,14.98,15.01,88900,14.94
2013-03-11,15.01,15.04,15.00,15.03,48400,14.96
2013-03-08,15.06,15.06,14.93,15.00,67100,14.93
2013-03-07,15.04,15.05,14.98,15.00,51900,14.93
2013-03-06,15.09,15.12,15.02,15.04,100000,14.97
2013-03-05,15.02,15.10,15.02,15.07,123400,15.00
2013-03-04,15.01,15.04,14.99,15.01,67800,14.94
2013-03-01,15.05,15.08,15.04,15.04,97300,14.97
2013-02-28,14.99,15.08,14.99,15.08,102300,15.01
2013-02-27,14.98,15.01,14.92,15.01,57800,14.94
2013-02-26,14.95,15.10,14.95,14.96,69400,14.89
2013-02-25,15.00,15.12,14.94,14.94,119100,14.87
2013-02-22,15.08,15.12,15.07,15.08,58500,14.94
2013-02-21,15.07,15.08,15.00,15.05,129500,14.91
2013-02-20,15.08,15.14,15.08,15.09,107800,14.95
2013-02-19,15.00,15.09,15.00,15.08,149800,14.94
2013-02-15,14.98,14.99,14.91,14.96,44300,14.82
2013-02-14,14.99,14.99,14.89,14.94,303300,14.80
2013-02-13,14.95,14.99,14.95,14.99,43400,14.85
2013-02-12,14.96,14.97,14.92,14.94,99100,14.80
2013-02-11,14.96,14.99,14.94,14.96,55400,14.82
2013-02-08,14.89,14.97,14.89,14.94,81400,14.80
2013-02-07,14.95,14.95,14.87,14.88,45000,14.74
2013-02-06,14.86,14.94,14.84,14.94,56600,14.80
2013-02-05,14.91,14.94,14.86,14.89,71900,14.75
2013-02-04,14.97,14.97,14.87,14.90,119200,14.76
2013-02-01,14.94,15.00,14.94,14.98,62900,14.84
2013-01-31,15.00,15.00,14.90,14.92,81600,14.78
2013-01-30,15.00,15.03,14.95,14.99,74200,14.85
2013-01-29,15.02,15.05,15.00,15.00,52400,14.86
2013-01-28,15.06,15.06,14.99,15.04,132200,14.90
2013-01-25,15.05,15.07,15.02,15.04,62400,14.83
2013-01-24,15.02,15.04,15.00,15.02,61700,14.81
2013-01-23,14.97,15.03,14.97,15.02,80800,14.81
2013-01-22,14.98,15.03,14.95,15.03,80500,14.82
2013-01-21,14.95,15.00,14.93,15.00,76700,14.79
2013-01-18,14.86,14.93,14.85,14.92,66700,14.71
2013-01-17,14.80,14.84,14.79,14.84,70000,14.63
2013-01-16,14.77,14.79,14.75,14.79,88400,14.58
2013-01-15,14.78,14.79,14.72,14.78,42300,14.57
2013-01-14,14.80,14.80,14.70,14.76,64700,14.55
2013-01-11,14.80,14.80,14.70,14.76,117000,14.55
2013-01-10,14.75,14.79,14.75,14.76,53500,14.55
2013-01-09,14.72,14.76,14.71,14.76,54800,14.55
2013-01-08,14.72,14.72,14.66,14.71,58400,14.50
2013-01-07,14.73,14.73,14.65,14.71,48100,14.50
2013-01-04,14.66,14.74,14.65,14.72,62900,14.51
2013-01-03,14.69,14.70,14.64,14.66,38100,14.46
2013-01-02,14.77,14.77,14.62,14.67,75800,14.47
2012-12-31,14.58,14.62,14.55,14.59,33600,14.39
2012-12-28,14.63,14.63,14.57,14.57,57800,14.37
2012-12-27,14.62,14.70,14.57,14.64,50500,14.44
2012-12-24,14.63,14.71,14.63,14.69,45000,14.48
2012-12-21,14.59,14.72,14.49,14.71,84900,14.44
2012-12-20,14.71,14.74,14.67,14.70,74300,14.43
2012-12-19,14.63,14.74,14.63,14.72,109500,14.45
2012-12-18,14.50,14.63,14.50,14.59,76300,14.32
2012-12-17,14.47,14.52,14.44,14.50,118200,14.23
2012-12-14,14.52,14.54,14.48,14.49,43500,14.22
2012-12-13,14.50,14.54,14.48,14.53,45300,14.26
2012-12-12,14.50,14.52,14.48,14.51,52200,14.24
2012-12-11,14.43,14.50,14.41,14.45,60700,14.18
2012-12-10,14.41,14.41,14.37,14.39,56300,14.12
2012-12-07,14.43,14.43,14.35,14.39,28700,14.12
2012-12-06,14.55,14.55,14.35,14.37,75400,14.10
2012-12-05,14.47,14.53,14.47,14.48,76000,14.21
2012-12-04,14.43,14.47,14.42,14.44,68600,14.17
2012-12-03,14.44,14.47,14.42,14.44,74800,14.17
2012-11-30,14.42,14.44,14.40,14.43,57800,14.16
2012-11-29,14.37,14.44,14.34,14.41,123900,14.14
2012-11-28,14.28,14.32,14.21,14.32,64500,14.05
2012-11-27,14.39,14.39,14.28,14.29,40300,14.02
2012-11-26,14.38,14.40,14.36,14.40,50100,14.06
2012-11-23,14.31,14.39,14.31,14.36,121400,14.02
2012-11-22,14.28,14.34,14.28,14.30,43000,13.96
2012-11-21,14.17,14.29,14.17,14.28,87700,13.94
2012-11-20,14.08,14.19,14.06,14.18,47500,13.85
2012-11-19,14.12,14.12,14.05,14.08,134500,13.75
2012-11-16,13.87,13.98,13.84,13.97,67500,13.64
2012-11-15,14.00,14.00,13.83,13.91,102500,13.58
2012-11-14,14.19,14.19,14.00,14.01,113000,13.68
2012-11-13,14.22,14.22,14.13,14.18,45200,13.85
2012-11-12,14.18,14.21,14.15,14.21,30700,13.88
2012-11-09,14.10,14.17,14.10,14.14,60700,13.81
2012-11-08,14.21,14.22,14.10,14.12,87500,13.79
2012-11-07,14.29,14.29,14.20,14.21,96100,13.88
2012-11-06,14.33,14.34,14.30,14.33,82800,13.99
2012-11-05,14.30,14.35,14.28,14.31,73800,13.97
2012-11-02,14.36,14.37,14.31,14.32,53600,13.98
2012-11-01,14.34,14.35,14.29,14.35,98000,14.01
2012-10-31,14.20,14.31,14.20,14.29,168400,13.95
2012-10-30,14.11,14.27,14.11,14.23,165700,13.89
2012-10-29,14.14,14.19,14.10,14.15,190200,13.82
2012-10-26,14.26,14.26,14.19,14.19,33700,13.86
2012-10-25,14.27,14.31,14.27,14.28,115500,13.87
2012-10-24,14.30,14.30,14.22,14.22,35000,13.81
2012-10-23,14.31,14.31,14.17,14.22,65400,13.81
2012-10-22,14.31,14.35,14.30,14.35,64900,13.94
2012-10-19,14.31,14.33,14.26,14.32,99700,13.91
2012-10-18,14.30,14.34,14.30,14.34,50600,13.93
2012-10-17,14.29,14.30,14.25,14.29,54000,13.88
2012-10-16,14.16,14.27,14.16,14.24,117700,13.83
2012-10-15,14.11,14.16,14.10,14.16,56800,13.75
2012-10-12,14.14,14.14,14.05,14.09,102600,13.69
2012-10-11,14.13,14.15,14.10,14.11,64200,13.71
2012-10-10,14.17,14.17,14.08,14.12,82300,13.71
2012-10-09,14.25,14.25,14.15,14.19,54000,13.78
2012-10-05,14.25,14.26,14.20,14.22,75700,13.81
2012-10-04,14.18,14.22,14.18,14.22,54600,13.81
2012-10-03,14.18,14.19,14.14,14.17,57600,13.76
2012-10-02,14.19,14.19,14.12,14.15,44400,13.74
2012-10-01,14.14,14.20,14.11,14.12,63400,13.71
2012-09-28,14.13,14.13,14.04,14.09,46800,13.69
2012-09-27,14.01,14.14,14.01,14.10,161900,13.70
2012-09-26,14.05,14.08,14.02,14.04,44600,13.64
2012-09-25,14.11,14.13,14.03,14.06,107200,13.66
2012-09-24,14.11,14.18,14.06,14.16,126100,13.67
2012-09-21,14.19,14.19,14.12,14.15,103800,13.66
2012-09-20,14.16,14.16,14.09,14.15,87800,13.66
2012-09-19,14.15,14.16,14.10,14.15,224000,13.66
2012-09-18,14.10,14.11,14.08,14.11,76500,13.63
2012-09-17,14.07,14.10,14.07,14.09,44700,13.61
2012-09-14,14.10,14.10,14.06,14.09,107800,13.61
2012-09-13,13.98,14.06,13.98,14.05,123600,13.57
2012-09-12,14.05,14.05,14.00,14.02,62000,13.54
2012-09-11,14.04,14.04,13.96,14.01,92000,13.53
2012-09-10,14.01,14.05,14.00,14.03,64200,13.55
2012-09-07,14.00,14.02,13.97,14.01,66300,13.53
2012-09-06,13.93,13.99,13.93,13.98,47900,13.50
2012-09-05,13.83,13.92,13.83,13.92,102100,13.44
2012-09-04,13.93,13.93,13.77,13.83,90000,13.36
2012-08-31,13.89,13.96,13.88,13.91,76800,13.43
2012-08-30,14.00,14.00,13.85,13.89,127000,13.41
2012-08-29,13.97,14.03,13.94,13.99,201700,13.51
2012-08-28,13.99,13.99,13.91,13.92,213200,13.44
2012-08-27,13.95,13.98,13.94,13.97,57700,13.41
2012-08-24,13.89,13.97,13.89,13.93,50900,13.37
2012-08-23,13.92,13.92,13.84,13.87,79300,13.31
